City_ID,City,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date(of Weather Data)
83,acajutla,13.59,-89.83,71.01,96,0,1.99,SV,04/01/2020
84,ilulissat,69.22,-51.1,3.2,71,100,16.11,GL,04/01/2020
85,hobart,-42.88,147.33,70,48,75,11.41,AU,04/01/2020
86,constitucion,-35.33,-72.42,56.93,69,2,11.39,CL,04/01/2020
87,sakakah,29.97,40.21,62.6,21,5,6.93,SA,04/01/2020
88,katete,-0.78,29.75,63.66,58,75,4.09,UG,04/01/2020
89,mar del plata,-38,-57.56,66,68,90,10.29,AR,04/01/2020
90,csokmo,47.03,21.3,27,73,0,5.82,HU,04/01/2020
91,thompson,55.74,-97.86,10.4,78,75,13.87,CA,04/01/2020
92,guerrero negro,27.98,-114.06,66.94,52,100,12.28,MX,04/01/2020
93,guilin,25.28,110.29,59,72,90,4.47,CN,04/01/2020
94,birao,10.28,22.79,75.92,16,2,4.59,CF,04/01/2020
95,cayenne,4.93,-52.33,77,94,75,3.36,GF,04/01/2020
96,jalu,29.03,21.55,54.97,77,0,5.97,LY,04/01/2020
97,alofi,-19.06,-169.92,86,74,75,6.93,NU,04/01/2020
98,balikpapan,-1.27,116.83,82.4,83,40,10.29,ID,04/01/2020
99,mahon,39.89,4.27,55.4,82,84,13.87,ES,04/01/2020
100,rastolita,46.97,24.99,23.23,79,2,4.41,RO,04/01/2020
101,antofagasta,-23.65,-70.4,64.4,82,90,9.17,CL,04/01/2020
102,abha,18.22,42.51,60.8,63,5,10.29,SA,04/01/2020
103,nouadhibou,20.93,-17.03,66.2,77,98,9.17,MR,04/01/2020
104,leshukonskoye,64.9,45.76,15.06,94,100,6.78,RU,04/01/2020
105,angul,20.85,85.1,92.97,17,0,0.76,IN,04/01/2020
106,voka,59.4,27.58,35.04,95,96,19.6,EE,04/01/2020
107,kitimat,54.05,-128.65,28.4,39,75,14.99,CA,04/01/2020
108,avarua,-21.21,-159.78,82.4,83,75,4.7,CK,04/01/2020
109,taganak,6.08,118.3,86,79,40,6.93,PH,04/01/2020
110,mazagao,-0.12,-51.29,78.8,100,84,3.36,BR,04/01/2020
111,khani,41.96,42.96,46.4,75,75,8.05,GE,04/01/2020
112,sao jose da coroa grande,-8.9,-35.15,80.13,82,68,8.88,BR,04/01/2020
113,nikolskoye,59.7,30.79,32,96,90,8.95,RU,04/01/2020
114,tual,-5.67,132.75,82.85,75,100,9.17,ID,04/01/2020
115,ndele,8.41,20.65,72.7,35,52,3.47,CF,04/01/2020
116,grand-santi,4.25,-54.38,73.11,93,99,2.35,GF,04/01/2020
117,bluff,-46.6,168.33,64,63,4,5.01,NZ,04/01/2020
118,camocim,-2.9,-40.84,76.95,91,100,6.46,BR,04/01/2020
119,ponta do sol,32.67,-17.1,59,58,20,12.75,PT,04/01/2020
120,geraldton,-28.77,114.6,77,44,75,12.75,AU,04/01/2020
121,fethiye,36.62,29.12,50,93,5,4.7,TR,04/01/2020
122,boke,10.94,-14.3,72.7,87,2,2.73,GN,04/01/2020
123,bukama,-9.2,25.85,69.39,77,55,0.38,CD,04/01/2020
124,dolores,-36.31,-57.68,63.59,84,96,11.5,AR,04/01/2020
125,ngunguru,-35.62,174.5,72,76,100,8.01,NZ,04/01/2020
126,iqaluit,63.75,-68.51,-5.8,53,20,10.29,CA,04/01/2020
127,irbit,57.67,63.07,33.26,90,100,7.67,RU,04/01/2020
128,puerto madryn,-42.77,-65.04,59.59,60,27,18.45,AR,04/01/2020
129,port-gentil,-0.72,8.78,81.68,82,83,9.95,GA,04/01/2020
130,pak chong,14.71,101.42,93.33,33,20,6.15,TH,04/01/2020
131,rapid valley,44.06,-103.15,46,65,1,16.11,US,04/01/2020
132,takoradi,4.88,-1.76,79.97,89,47,7.09,GH,04/01/2020
133,tuktoyaktuk,69.45,-133.04,10.4,66,20,21.92,CA,04/01/2020
134,ancud,-41.87,-73.82,42.8,100,23,3.36,CL,04/01/2020
135,liverpool,53.41,-2.98,44.6,93,71,5.82,GB,04/01/2020
136,doha,25.29,51.53,73.4,43,0,4.7,QA,04/01/2020
137,castro,-24.79,-50.01,65.1,58,65,3.74,BR,04/01/2020
138,kaitangata,-46.28,169.85,55.99,83,9,11.01,NZ,04/01/2020
139,kajaani,64.23,27.73,28.4,92,90,6.93,FI,04/01/2020
140,sabang,5.89,95.32,84.85,68,88,9.04,ID,04/01/2020
141,dobele,56.62,23.28,35.6,80,75,10.29,LV,04/01/2020
142,umm kaddadah,13.6,26.69,77.43,14,0,10.04,SD,04/01/2020
143,lagoa,39.05,-27.98,57.43,67,98,27.76,PT,04/01/2020
144,bethel,41.37,-73.41,42.8,78,20,3.15,US,04/01/2020
145,cabo san lucas,22.89,-109.91,70,60,40,3.36,MX,04/01/2020
146,san juan,-31.54,-68.54,74.48,49,88,9.86,AR,04/01/2020
147,black river,18.03,-77.85,80.6,74,20,3.36,JM,04/01/2020
148,airai,-8.93,125.41,73.06,54,30,3.42,TL,04/01/2020
149,sioux lookout,50.1,-91.92,39.2,51,5,3.36,CA,04/01/2020
150,tiksi,71.69,128.87,1.96,89,100,4.38,RU,04/01/2020
151,shelburne,44.08,-80.2,41,80,90,14.99,CA,04/01/2020
152,magistralnyy,56.17,107.45,38.75,64,100,13.06,RU,04/01/2020
153,vestmannaeyjar,63.44,-20.27,38.64,76,97,25.41,IS,04/01/2020
154,meulaboh,4.14,96.13,84.69,74,86,2.95,ID,04/01/2020
155,tasiilaq,65.61,-37.64,12.2,47,2,39.15,GL,04/01/2020
156,cooma,-36.23,149.13,71.6,40,4,18.34,AU,04/01/2020
157,weiser,44.25,-116.97,39.99,69,1,4.7,US,04/01/2020
158,walla walla,46.06,-118.34,46,56,20,16.11,US,04/01/2020
159,terrace bay,48.78,-87.1,31.08,90,100,10.38,CA,04/01/2020
160,beyneu,45.32,55.2,48.51,81,56,14.7,KZ,04/01/2020
161,tucuman,-26.82,-65.22,71.6,94,90,5.82,AR,04/01/2020
162,norden,53.6,7.2,37.99,82,89,6.93,DE,04/01/2020
163,savannah bight,16.45,-85.85,81.7,79,0,22.01,HN,04/01/2020
164,half moon bay,37.46,-122.43,57.99,87,90,10.29,US,04/01/2020
165,upernavik,72.79,-56.15,-4.32,87,85,13.71,GL,04/01/2020
166,magadi,12.97,77.23,87.01,28,16,6.93,IN,04/01/2020
167,yurty,56.05,97.63,38.03,74,95,8.95,RU,04/01/2020
168,bati,11.18,40.02,66.09,48,0,2.39,ET,04/01/2020
169,karratha,-20.74,116.85,91.94,23,95,8.19,AU,04/01/2020
170,zhuhai,22.28,113.57,72,88,40,16.11,CN,04/01/2020
171,vanimo,-2.67,141.3,85.35,66,100,6.44,PG,04/01/2020
172,winneba,5.35,-0.62,82.4,88,20,10.29,GH,04/01/2020
173,mugla,37.23,28.36,50,93,17,4.7,TR,04/01/2020
174,naze,28.37,129.48,69.8,77,75,11.41,JP,04/01/2020
175,bonavista,48.65,-53.11,33.01,85,100,4,CA,04/01/2020
176,lokosovo,61.13,74.82,34.47,93,100,8.68,RU,04/01/2020
177,dongsheng,39.82,109.98,36.93,32,45,15.26,CN,04/01/2020
178,flinders,-34.58,150.86,73.4,73,75,14.99,AU,04/01/2020
179,aden,12.78,45.04,81.32,79,55,16.13,YE,04/01/2020
180,saint anthony,45.02,-93.22,46.4,52,1,8.16,US,04/01/2020
181,mandalgovi,45.76,106.27,35.11,32,0,12.71,MN,04/01/2020
182,dehloran,32.69,47.27,62.28,43,7,5.7,IR,04/01/2020
183,torbay,47.67,-52.73,39.99,100,90,11.41,CA,04/01/2020
184,mount isa,-20.73,139.5,95,23,0,12.75,AU,04/01/2020
185,rio gallegos,-51.62,-69.22,46.4,70,100,5.82,AR,04/01/2020
186,itarema,-2.92,-39.92,77.77,89,100,6.96,BR,04/01/2020
187,lavrentiya,65.58,-171,24.37,95,100,7.78,RU,04/01/2020
188,kahului,20.89,-156.47,75.2,69,40,9.17,US,04/01/2020
189,baykit,61.67,96.37,22.15,90,84,1.95,RU,04/01/2020
